# x (nm)  y (nm)  z (nm)  tether type  plate
52.95 43.448 20 alphap   upper
9.556 150.79 20 alphap   upper
96.452 5.492 20 alphap   upper
91.382 149.072 20 alphap   upper
90.24 165.392 20 alphap   upper
95.992 86.618 20 alphap   upper
87.69 50.904 20 alphap   upper
24.934 10.368 20 alphap   upper
97.114 51.964 20 alphap   upper
24.93 188.502 20 alphap   upper
130.434 80.876 20 alphap   upper
167.338 136.554 20 alphap   upper
115.064 16.392 20 alphap   upper
112.87 138.226 20 alphap   upper
34.23 12.502 20 alphap   upper
97.89 151.076 20 alphap   upper
60.906 128.404 20 alphap   upper
35.064 0.45 20 alphap   upper
48.482 24.732 20 alphap   upper
193.646 170.918 20 alphap   upper
162.966 102.962 20 alphap   upper
49.56 34.868 20 alphap   upper
136.478 15.622 20 alphap   upper
118.006 94.502 20 alphap   upper
176.94 120.674 20 alphap   upper
97.976 105.914 20 alphap   upper
187.79 49.56 20 alphap   upper
157.684 87.868 20 alphap   upper
127.972 0.37 20 alphap   upper
30.722 120.42 20 alphap   upper
98.168 189.978 20 alphap   upper
39.576 195.732 20 alphap   upper
141.902 149.184 20 alphap   upper
46.882 121.296 20 alphap   upper
35.494 118.176 20 alphap   upper
174.324 179.058 20 alphap   upper
147.122 40.756 20 alphap   upper
142.706 162.286 20 alphap   upper
42.11 198.396 20 alphap   upper
123.374 60.74 20 alphap   upper
89.244 20.068 20 alphap   upper
171.312 181.704 20 alphap   upper
183.506 180.484 20 alphap   upper
23.64 28.822 20 alphap   upper
121.258 199.064 20 alphap   upper
153.98 4.99 20 alphap   upper
169.916 139.81 20 alphap   upper
63.272 67.46 20 alphap   upper
182.652 41.972 20 alphap   upper
58.356 196.38 20 alphap   upper
65.228 186.068 20 alphap   upper
136.448 75.096 20 alphap   upper
5.152 179.088 20 alphap   upper
105.312 153.826 20 alphap   upper
61.85 37.522 20 alphap   upper
169.838 2.856 20 alphap   upper
191.492 172.452 20 alphap   upper
103.076 2.576 20 alphap   upper
184.47 85.814 20 alphap   upper
30.042 199.58 20 alphap   upper
14.07 93.002 20 alphap   upper
53.698 56.826 20 alphap   upper
165.556 105.818 20 alphap   upper
10.692 36.704 20 alphap   upper
104.81 158.478 20 alphap   upper
49.776 99.898 20 alphap   upper
104.474 42.878 20 alphap   upper
66.166 33.084 20 alphap   upper
171.6 38.192 20 alphap   upper
152.998 188.722 20 alphap   upper
135.772 49.206 20 alphap   upper
125.198 144.644 20 alphap   upper
160.87 168.058 20 alphap   upper
178.066 199.07 20 alphap   upper
90.648 140.898 20 alphap   upper
38.21 30.394 20 alphap   upper
99.51 132.36 20 alphap   upper
73.278 155.868 20 alphap   upper
6.018 178.584 20 alphap   upper
164.976 50.316 20 alphap   upper
97.82 118.586 20 alphap   upper
186.716 153.492 20 alphap   upper
27.16 174.66 20 alphap   upper
45.064 45.674 20 alphap   upper
60.068 122.89 20 alphap   upper
186.97 84.3 20 alphap   upper
176.574 119.49 20 alphap   upper
141.202 117.676 20 alphap   upper
53.972 195.066 20 alphap   upper
173.868 167.442 20 alphap   upper
32.174 97.168 20 alphap   upper
187.028 120.846 20 alphap   upper
22.744 35.944 20 alphap   upper
147.982 54.456 20 alphap   upper
72.358 142.746 20 alphap   upper
181.886 35.426 20 alphap   upper
64.772 104.07 20 alphap   upper
53.83 13.766 20 alphap   upper
19.996 74.88 20 alphap   upper
